,Unnamed: 0.1,Unnamed: 0,Year,Month,Day,Hour,Minute,Second,Lat,Lon,Depth,Seismotectonic unit,Unit no.,mb,Ms,MN,ML,Mw (reported),Mw (estimated),Mw,Location Ref.,mb Ref.,Ms Ref.,MN Ref.,ML Ref.,Mw Ref. (reported),Mw Ref. (estimated),Assumed_uncertainty of Mw,1 Standard deviatoion for converted Mw,Unnamed: 27,References,Density,Cell#
50,50,635,1943,2,6,2,36,0.0,24.8,63.24,15.0,Makran,4,,6.0,,,6.2,,6.2,ISC-GEM,,RM1985,,,ISC-GEM,,0.61,,,,10,647
51,51,724,1950,7,9,0,28,26.0,25.01,63.14,15.0,Makran,4,,5.2,,,5.7,,5.7,ISC-GEM,,QJ1979,,,ISC-GEM,,0.2,,,,10,647
52,52,764,1952,12,28,18,40,25.0,24.89,63.21,15.0,Makran,4,,4.9,,,5.5,,5.5,ISC-GEM,,QJ1979,,,ISC-GEM,,0.2,,,,10,647
53,53,1418,1972,8,18,10,3,5.0,24.82,63.13,33.0,Makran,4,4.6,4.2,,,,4.7,4.7,ISC,ISC,M2014,,,,Equation(3),,0.1739,,,10,647
54,54,1481,1973,9,2,7,23,16.0,24.8,63.15,26.0,Makran,4,5.2,5.1,,,,5.4,5.4,ISC-EHB,ISC,M2014,,,,Equation(3),,0.1747,,,10,647
55,55,3361,1992,1,30,5,22,1.4,24.95,63.16,26.0,Out of all Provinces,6,5.6,5.8,,,5.8,,5.8,ISC-EHB,NEIC,NEIC,,,GCMT,,0.2,,,,10,647
56,56,3389,1992,5,17,3,55,42.0,24.92,63.25,30.0,Makran,4,4.7,4.7,,,,4.8,4.8,ISC,ISC,ISC,,,,Equation(3),,0.174,,,10,647
57,57,4143,1998,4,19,19,57,23.0,25.01,63.27,24.0,Makran,4,4.5,4.1,,,,4.6,4.6,ISC-EHB,ISC,ISC,,,,Equation(3),,0.1739,,,10,647
58,58,4312,1999,6,4,4,46,43.0,24.97,63.24,33.0,Makran,4,4.0,3.4,,,,4.0,4.0,ISC,ISC,M2014,,,,Equation(3),,0.1738,,,10,647
59,59,16778,2018,8,3,23,24,2.0,24.9,63.31,15.0,Makran,4,4.0,,3.9,,,3.9,3.9,IRSC,NEIC,,IRSC,,,Equation(7),,0.1484,,,10,647
60,60,652,1945,11,27,21,56,54.0,24.98,63.68,15.0,Makran,4,,8.0,,,8.1,,8.1,ISC-GEM,,A2001,,,ISC-GEM,,0.3,,,,10,648
61,61,729,1950,11,14,22,4,47.0,24.89,63.5,15.0,Makran,4,,5.0,,,5.5,,5.5,ISC-GEM,,QJ1979,,,ISC-GEM,,0.2,,,,10,648
62,62,504,1932,4,18,11,23,27.0,24.99,63.77,15.0,Makran,4,,5.8,,,6.1,,6.1,ISC-GEM,,RM1985,,,ISC-GEM,,0.2,,,,10,649
63,63,5065,2002,3,28,5,13,6.0,25.17,54.63,18.0,Out of all Provinces,6,,,3.7,,,4.2,4.2,IRSC,,,IRSC,,,Equation(6),,0.3383,,,10,685
64,64,5051,2002,3,11,20,6,37.2,25.17,56.09,26.0,Out of all Provinces,6,5.0,4.1,4.3,,5.0,,5.0,ISC-EHB,NEIC,NEIC,IRSC,,GCMT,,0.1,,,,10,689
65,65,7016,2007,3,10,18,15,14.0,25.28,56.05,7.0,Out of all Provinces,6,4.2,3.7,4.2,4.1,,4.2,4.2,ISC-EHB,ISC,M2014,IRSC,IIEES,,Equation(7),,0.1482,,,10,689
66,66,7816,2008,2,2,21,25,16.0,25.28,56.07,16.0,Out of all Provinces,6,4.0,3.4,,,,4.0,4.0,ISC,ISC,M2014,,,,Equation(3),,0.1738,,,10,689
67,67,11585,2012,10,21,16,13,22.0,25.31,56.21,12.8,Out of all Provinces,6,4.1,,,,,4.1,4.1,ISC,ISC,,,,,Equation(3),,0.1738,,,10,690
68,68,3391,1992,5,20,2,2,9.0,25.3,57.8,33.0,Makran,4,4.5,4.1,,,,4.6,4.6,ISC,ISC,M2014,,,,Equation(3),,0.1739,,,10,695
69,69,6135,2005,11,24,21,26,43.0,25.21,60.13,10.0,Makran,4,4.2,3.7,,,,4.2,4.2,ISC,ISC,M2014,,,,Equation(3),,0.1738,,,10,702
70,70,6134,2005,11,24,21,17,47.0,25.09,60.3,10.0,Makran,4,4.2,3.7,,,,4.2,4.2,ISC-EHB,ISC,M2014,,,,Equation(3),,0.1738,,,10,703
71,71,16872,2018,9,7,6,58,9.0,25.21,60.71,28.0,Makran,4,,,3.7,,,3.7,3.7,IRSC,,,IRSC,,,Equation(7),,0.1487,,,10,704
72,72,1779,1977,7,3,6,38,41.0,25.16,60.92,27.0,Makran,4,4.7,4.4,,,,4.8,4.8,ISC,ISC,M2014,,,,Equation(3),,0.174,,,10,705
73,73,1275,1970,1,19,20,32,0.0,25.3,61.34,33.0,Makran,4,4.4,3.9,,,,4.5,4.5,ISC,ISC,M2014,,,,Equation(3),,0.1738,,,10,706
74,74,1087,1966,8,22,21,28,31.0,25.1,61.8,33.0,Makran,4,4.7,4.4,,,,4.8,4.8,NEIC,NEIC,M2014,,,,Equation(3),,0.174,,,10,707
75,75,7151,2007,4,29,6,33,52.0,25.21,62.11,29.0,Makran,4,4.8,4.2,,,,4.9,4.9,ISC-EHB,ISC,ISC,,,,Equation(3),,0.1741,,,10,708
76,76,1825,1978,2,10,20,50,48.0,25.26,62.33,25.0,Makran,4,5.1,5.5,,,5.3,,5.3,ISC-EHB,NEIC,NEIC,,,ISC-GEM,,0.38,,,,10,709
77,77,4033,1997,8,28,12,11,33.0,25.27,62.33,24.0,Makran,4,4.4,3.8,,,,4.5,4.5,ISC,ISC,ISC,,,,Equation(3),,0.1738,,,10,709
78,78,14380,2016,1,10,22,24,22.0,25.24,62.32,28.0,Makran,4,,,3.7,,,3.7,3.7,IRSC,,,IRSC,,,Equation(7),,0.1487,,,10,709
79,79,16035,2017,11,8,20,58,16.0,25.04,62.43,20.0,Makran,4,,,3.5,,,3.4,3.4,IRSC,,,IRSC,,,Equation(7),,0.1491,,,10,709
80,80,954,1963,8,12,18,29,38.0,25.2,62.66,20.0,Makran,4,5.2,5.1,,,,5.4,5.4,ISC-EHB,NEIC,M2014,,,,Equation(3),,0.1747,,,10,710
81,81,3565,1993,12,19,11,45,31.0,25.24,62.57,25.0,Makran,4,5.1,4.9,,,,5.3,5.3,ISC-EHB,ISC,ISC,,,,Equation(3),,0.1745,,,10,710
82,82,8875,2009,6,2,18,36,15.0,25.17,62.52,33.0,Makran,4,3.7,3.1,,,,3.6,3.6,ISC,ISC,ISC,,,,Equation(3),,0.1739,,,10,710
83,83,10044,2010,10,31,9,37,11.0,25.19,62.48,33.0,Makran,4,3.7,3.4,,,,3.6,3.6,ISC,ISC,ISC,,,,Equation(3),,0.1739,,,10,710
84,84,12658,2014,1,30,16,1,45.0,25.12,62.78,10.0,Makran,4,4.6,3.6,4.6,,,4.6,4.6,IRSC,ISC,ISC,IRSC,,,Equation(7),,0.1481,,,10,710
85,85,1204,1968,8,3,14,1,40.0,25.19,62.87,29.0,Makran,4,4.7,4.4,,,,4.8,4.8,ISC,ISC,M2014,,,,Equation(3),,0.174,,,10,711
86,86,1609,1975,7,29,13,25,21.0,25.09,62.97,24.0,Makran,4,5.4,4.9,,,,5.7,5.7,ISC-EHB,NEIC,NEIC,,,,Equation(3),,0.1751,,,10,711
87,87,2632,1985,5,5,21,44,3.0,25.1,63.11,33.0,Makran,4,4.2,3.7,,,,4.2,4.2,ISC,ISC,M2014,,,,Equation(3),,0.1738,,,10,711
88,88,3346,1991,12,7,14,22,32.0,25.15,62.97,29.0,Makran,4,5.3,5.1,,,5.6,,5.6,ISC-EHB,NEIC,NEIC,,,GCMT,,0.2,,,,10,711
89,89,7169,2007,5,6,4,1,0.0,25.04,62.94,27.0,Makran,4,4.7,4.1,4.5,,,4.5,4.5,ISC-EHB,ISC,ISC,IRSC,,,Equation(7),,0.1481,,,10,711
90,90,8690,2009,2,25,5,3,6.0,25.08,62.92,60.0,Makran,4,4.6,3.6,4.7,,,4.7,4.7,IRSC,ISC,ISC,IRSC,,,Equation(7),,0.1481,,,10,711
91,91,13758,2015,5,3,20,43,37.0,25.08,62.88,30.0,Makran,4,4.3,3.3,4.3,,,4.3,4.3,IRSC,ISC,ISC,IRSC,,,Equation(7),,0.1481,,,10,711
92,92,14400,2016,1,16,21,46,11.0,25.24,62.81,19.0,Makran,4,,,3.8,,,3.8,3.8,IRSC,,,IRSC,,,Equation(7),,0.1486,,,10,711
93,93,16841,2018,8,27,12,9,2.0,25.08,62.9,10.0,Makran,4,4.9,,,,,5.1,5.1,NEIC,NEIC,,,,,Equation(3),,0.1742,,,10,711
94,94,674,1947,8,5,14,24,15.0,25.14,63.37,15.0,Makran,4,,7.0,,,6.8,,6.8,ISC-GEM,,A2001,,,ISC-GEM,,0.3,,,,10,712
95,95,1657,1976,2,3,14,54,18.0,25.3,63.42,25.0,Makran,4,4.7,4.4,,,5.1,,5.1,ISC-GEM,ISC,ISC,,,ISC-GEM,,0.2,,,,10,712
96,96,2789,1986,12,31,16,56,49.0,25.26,63.25,24.0,Makran,4,5.0,4.3,,,,5.2,5.2,ISC-EHB,ISC,ISC,,,,Equation(3),,0.1744,,,10,712
97,97,3549,1993,10,11,9,13,4.0,25.27,63.34,24.0,Makran,4,4.5,4.5,,,,4.6,4.6,ISC,ISC,ISC,,,,Equation(3),,0.1739,,,10,712
98,98,11928,2013,3,11,21,20,34.0,25.2,63.23,28.0,Makran,4,3.9,,,,,3.9,3.9,ISC,ISC,,,,,Equation(3),,0.1738,,,10,712
99,99,15329,2017,2,7,22,3,55.7,25.21,63.25,10.0,Makran,4,6.0,6.3,6.1,,6.4,,6.4,IRSC,NEIC,NEIC,IRSC,,GCMT,,0.1,,,,10,712
100,100,16548,2018,5,3,7,58,7.0,25.05,63.17,10.0,Makran,4,4.5,,,,,4.6,4.6,NEIC,NEIC,,,,,Equation(3),,0.1739,,,10,712
101,101,609,1940,1,7,9,1,57.0,25.23,63.66,15.0,Makran,4,,,,,5.6,,5.6,ISC-GEM,,,,,ISC-GEM,,0.2,,,,10,713
102,102,681,1948,1,30,8,43,54.0,25.06,63.47,15.0,Makran,4,,6.4,,,6.5,,6.5,ISC-GEM,,A2001,,,ISC-GEM,,0.2,,,,10,713
103,103,2168,1981,1,21,20,27,13.0,25.06,63.52,,Makran,4,4.4,3.9,,,,4.5,4.5,ISC,ISC,M2014,,,,Equation(3),,0.1738,,,10,713
104,104,2941,1988,5,16,7,22,37.0,25.05,63.53,33.0,Makran,4,4.0,3.4,,,,4.0,4.0,NEIC,NEIC,M2014,,,,Equation(3),,0.1738,,,10,713
105,105,2524,1984,4,12,11,19,9.0,25.43,55.97,33.0,Out of all Provinces,6,4.2,3.7,,,,4.2,4.2,ISC,ISC,M2014,,,,Equation(3),,0.1738,,,10,754
