,Unnamed: 0,Year,Month,Day,Hour,Minute,Second,Lat,Lon,Depth,Seismotectonic unit,Unit no.,mb,Ms,MN,ML,Mw (reported),Mw (estimated),Mw,Location Ref.,mb Ref.,Ms Ref.,MN Ref.,ML Ref.,Mw Ref. (reported),Mw Ref. (estimated),Assumed_uncertainty of Mw,1 Standard deviatoion for converted Mw,Unnamed: 27,References
8952,15472,2017,4,2,18,42,59,32.73,47.55,8.1,Zagros,5,,,3.1,,,3,3,IRSC,,,IRSC,,,Equation(7),,0.15,,
8953,15929,2017,9,24,19,55,56,32.63,47.55,7.6,Zagros,5,,,3.1,,,3,3,IRSC,,,IRSC,,,Equation(7),,0.15,,
8954,16022,2017,11,2,7,47,14,32.7,47.47,17.4,Zagros,5,,,3.1,,,3,3,IRSC,,,IRSC,,,Equation(7),,0.15,,
8955,16254,2018,1,14,18,17,15,32.71,47.57,16.1,Zagros,5,,,3.1,,,3,3,IRSC,,,IRSC,,,Equation(7),,0.15,,
8956,16338,2018,2,19,4,34,32,32.88,47.5,12.5,Zagros,5,,,3.5,,,3.4,3.4,IRSC,,,IRSC,,,Equation(7),,0.1491,,
8957,16363,2018,2,26,11,19,52,32.84,47.56,8,Zagros,5,,,3.3,,,3.2,3.2,IRSC,,,IRSC,,,Equation(7),,0.1495,,
8958,1967,1979,5,16,22,20,25,32.63,47.77,33,Zagros,5,4.4,3.8,,,,4.5,4.5,ISC,ISC,M2014,,,,Equation(3),,0.1738,,
8959,2800,1987,1,21,20,1,5,32.78,47.64,15,Zagros,5,4.7,4.2,,,,4.8,4.8,ISC-EHB,ISC,M2014,,,,Equation(3),,0.174,,
8960,2867,1987,10,14,14,45,4,32.86,47.78,33,Zagros,5,4.6,4.1,,,,4.7,4.7,ISC,ISC,M2014,,,,Equation(3),,0.1739,,
8961,2871,1987,10,27,21,29,12,32.76,47.81,33,Zagros,5,4.6,4.1,,,,4.7,4.7,ISC,ISC,M2014,,,,Equation(3),,0.1739,,
8962,3045,1989,4,2,21,24,36.8,32.66,47.77,15,Zagros,5,5.4,5,,,5.4,,5.4,ISC-EHB,NEIC,NEIC,,,GCMT,,0.2,,,
8963,3224,1990,12,29,15,34,17,32.63,47.89,15,Zagros,5,5.1,4.8,,,,5.3,5.3,ISC-EHB,ISC,M2014,,,,Equation(3),,0.1745,,
8964,3386,1992,5,9,6,27,32,32.73,47.64,15,Zagros,5,4.8,4.5,,,,4.9,4.9,ISC-EHB,ISC,ISC,,,,Equation(3),,0.1741,,
